Measure Name,Measure Abbreviation (if provided),Your Name,Timestamp,Reference (APA Style),Measure Details (description),"Year (enter a number such as ""2023""; year refers to year of publication of the paper)",Link to Paper,Link to Measure/Items,Items (copy paste the actual item set),Length (duration in seconds),Length (number of items),Population (2-letter country ISO code),Language (2-letter language ISO code),Validated (any type of validation of the measure),"Objective (i.e., performance test with clear correct and wrong responses, or the mapping of actual behaviour, etc., not self-report)","Specific (i.e., tailored, not a broad measure of resilience but on a specific technique or topic, for example the topic of the intervention in the study)",Online (is the measure administered online),"Long-Term Malleability (is there evidence that the score can change when measured weeks or months later)

Note: if the study did not look at this, please put NA","Short-Term Malleability (is there evidence that the score can change immediately after an intervention, or a couple of days after the initial measure)

Note: if the study did not look at this, please put NA",Skill (see high-level overview of resilience),"Attitudes, Norms, & Beliefs (see high-level overview of resilience)",Knowledge (see high-level overview of resilience),Behavioral Correlate (see high-level overview of resilience),Identity Risk Factor (see high-level overview of resilience),"Stimuli Type (see high-level overview of resilience)

Note: this may not be relevant for self-report scales, in that case, put NA","Stimuli Origin (see high-level overview of resilience; this refers to how the stimuli was created or collected)

Note: this may not be relevant for self-report scales, in that case, put NA","Stimuli Source (see high-level overview of resilience; this refers to whether the stimuli itself includes any source information, for example if the stimuli is a social media post whether this has been posted or written by an individual and this source information is included in the stimuli)

Note: this may not be relevant for self-report scales, in that case, put NA","Stimuli Characteristics (see high-level overview of resilience)

Note: this may not be relevant for self-report scales, in that case, put NA","Stimuli Platform (see high-level overview of resilience; this refers to the format of the stimuli and what type of platform the stimuli resemble)

Note: this may not be relevant for self-report scales, in that case, put NA",Response Option (see high-level overview of resilience),Component Type (see high-level overview of resilience),Behavior Type (see high-level overview of resilience),Risk Type (see high-level overview of resilience),Any comments?,Link to Original Measure Paper (if the measure used in the paper is based on a measure from a different paper),If this variable is a Key Correlate variable (see intervention scoring sheet); indicate which one,Does paper include a scale/measure?,Language (2-letter language ISO code)
Political Ideology,NA,Christiane,05/06/2023 17:17:54,"Morosoli, S., Van Aelst, P., Humprecht, E., Staender, A., & Esser, F. (2022). Identifying the Drivers Behind the Dissemination of Online Misinformation: A Study on Political Attitudes and Individual Characteristics in the Context of Engaging With Misinformation on Social Media.",Self-report; rating of political ideology on 11-point scale (extreme liberal to extreme conservative),2022,https://doi.org/10.1177/00027642221118300,https://journals.sagepub.com/doi/full/10.1177/00027642221118300?utm_source=summon&utm_medium=discovery-provider,"Phrasing not clear in paper, participant asked where they would place themselves on 11-point ideological scale.",NA,1,CH BE FR DE GB US,de nl fr de en en,NA,No,Yes,NA,NA,NA,No,Yes,No,No,Yes,NA,NA,NA,NA,NA,Scale,Belief,NA,Identity,,NA,Myside Bias,Yes,
Pseudoscientific Belief Scale,PSEUDO,Christiane,10/05/2023 22:01:59,"Bowes, S. M., & Tasimi, A. (2022). Clarifying the relations between intellectual humility and pseudoscience beliefs, conspiratorial ideation, and susceptibility to fake news. Journal of Research in Personality, 98, 104220. https://doi.org/10.1016/j.jrp.2022.104220","Measuring beliefs in established cases of pseudoscience, split into pseudo-theory promotion and science denialism.",2022,https://doi.org/10.1016/j.jrp.2022.104220,https://doi.org/10.1002/acp.3501,"1	All the cells of our body store memories (cellular memories), ours or of our ancestors.	1	2	3	4	5 2	The collective memory inherited and shared by the organisms belonging to the same species (‘morphic field’ or also ‘morphic resonance’) explains several biological phenomena.	1	2	3	4	5 3	Quantum mechanics has great implications in the explanation of consciousness and/or in the treatment of diseases.	1	2	3	4	5 4	Homeopathy is an ineffective medication. (R)	1	2	3	4	5 5	Osteopathy and/or chiropractic are scientifically backed branches of physiotherapy.	1	2	3	4	5 6	There are areas of our body surface, such as the feet, hands and/or ears in which we find representations of our entire anatomy.	1	2	3	4	5 7	The theoretical basis of acupuncture is incongruent with current knowledge about human anatomy. (R)	1	2	3	4	5 8	It is a proven fact that the enthusiastic repetition of desires or asking them to the universe (law of attraction) could cause them to come true.	1	2	3	4	5 9	The polygraph (lie detector) is a reliable tool to know if someone is lying.	1	2	3	4	5 10	While it is true that evolution is a fact, there are issues that require an intelligent intervention to be explained.	1	2	3	4	5 11	The Holocaust took place and 11 million people were murdered (of whom about 6 million were Jews). (R)	1	2	3	4	5 12	It has been scientifically proven that some people have extrasensory abilities (such as telepathy or precognition).	1	2	3	4	5 13	There is scientific evidence that confirm the possibility of repressing traumatic memories as a defence mechanism.	1	2	3	4	5 14	Due to well demonstrated biological reasons, negative emotions and unsolved conflicts or traumas increase the probability of having cancer.	1	2	3	4	5 15	There is no conclusive evidence that climate change is real or that human activity is its cause.	1	2	3	4	5 16	Neuro-linguistic programming (NLP) is accepted as part of psychology.	1	2	3	4	5 17	The earth is not spherical.	1	2	3	4	5 18	The main ideas of psychoanalysis are supported by scientific evidence.	1	2	3	4	5 19	Animals are incapable of feeling pain and suffering.	1	2	3	4	5 20	Many mental disorders (and a large proportion of psychiatric practice) are not scientifically known to be real.	1	2	3	4	5 21	Food should be chosen according to the blood group of each person.	1	2	3	4	5 22	The use of stem cells and/or DNA improves the effectiveness of facial creams.	1	2	3	4	5 23	We have evidence that different human races behave differently for innate or genetic reasons (for example, that some are more intelligent or violent than others).	1	2	3	4	5 24	GMOs are medically and ecologically safe. (R)	1	2	3	4	5 25	The human immunodeficiency virus (HIV) is the cause of the acquired immunodeficiency syndrome (AIDS). (R)	1	2	3	4	5 26	There is archaeological evidence of ancient contacts with ‘astronauts’ or ‘space visitors’ (for example, in cultures such as Sumerian, Egyptian, Maya or Nazca).	1	2	3	4	5 27	It is impossible to cure diseases by the laying on of hands and the channelling of energy (Reiki). (R)	1	2	3	4	5 28	It is demonstrated that, in some contexts and cases, being exposed to magnetic fields is positive for health.	1	2	3	4	5 29	Many of the pesticides and additives used by the food industry are unsafe.	1	2	3	4	5 30	Vaccines are unsafe, some of them cause diseases such as autism.	1	2	3	4	5",NA,30,NA,en,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,NA,NA,NA,NA,NA,Scale,Belief,NA,ThinkingStyle,,,,,
Psychopathy - Short Dark Triad,Psychopathy - SD3,Christiane,19/07/2023 00:40:27,"Buchanan, T., & Kempley, J. (2021). Individual differences in sharing false political information on social media: Direct and indirect effects of cognitive-perceptual schizotypy and psychopathy.","Measure of psychopathy as a socially-aversive personality characteristic, reflecting deficits in affect and self-control",2021,https://doi.org/10.1016/j.paid.2021.111071,(Appendix) https://doi.org/10.1177/1073191113514105,1.	 I like to get revenge on authorities. 2.	 I avoid dangerous situations. (R) 3.	 Payback needs to be quick and nasty. 4.	 People often say I’m out of control. 5.	 It’s true that I can be mean to others. 6.	 People who mess with me always regret it. 7.	 I have never gotten into trouble with the law. (R) 8.	 I enjoy having sex with people I hardly know 9.	 I’ll say anything to get what I want.,NA,9,US,en,Yes,No,Yes,Yes,NA,NA,No,No,No,No,Yes,NA,NA,NA,NA,NA,Scale,NA,NA,,,https://doi.org/10.1177/1073191113514105,NA,Yes,
Rational/Experiential Multimodal Inventory,REIm,Christiane,30/07/2023 21:03:11,"Swami, V., Voracek, M., Stieger, S., Tran, U. S., & Furnham, A. (2014). Analytic thinking reduces belief in conspiracy theories. Cognition, 133(3), 572-585.","12 items that measure an analytic thinking style and 30 items that measure an experiential thinking style (three sub-scales: Intuition, Emotionality and Imagination).",2014,https://doi.org/10.1016/j.cognition.2014.08.006,"(Under ""Results and Discussion) https://doi.org/10.1111/j.1467-6494.2011.00718.x","I enjoy problems that require hard thinking. I am not very good in solving problems that require careful logical analysis. I enjoy intellectual challenges. I prefer complex to simple problems. I don't like to have to do a lot of thinking. Reasoning things out carefully is not one of my strong points. I am not a very analytical thinker. I try to avoid situations that require thinking in depth about something. I am much better at figuring things out logically than most people. I have a logical mind. Using logic usually works well for me in figuring out problems in my life. Knowing the answer without understanding the reasoning behind it is good enough for me. I enjoy reading things that evoke visual images. I enjoy imagining things. I can clearly picture or remember some sculpture or natural object (not alive) that I think is very beautiful. I identify strongly with characters in movies or books I read. I tend to describe things by using images or metaphors, or creative comparisons. Art is really important to me. Sometimes I like to just sit back and watch things happen. I have favorite poems and paintings that mean a lot to me. When I travel or drive anywhere, I always watch the landscape and scenery. I almost never think in visual images. My emotions don't make much difference in my life. Emotions don't really mean much: they come and go. When I have a strong emotional experience, the effect stays with me for a long time. When I'm sad, it's often a very strong feeling. Things that make me feel emotional don't seem to affect other people as much. Everyday experiences often evoke strong feelings in me. I'd rather be upset sometimes and happy sometimes, than always feel calm. I don't react emotionally to scary movies or books as much as most people do. My anger is often very intense. When I'm happy, the feeling is usually more like contentment than like exhilaration or excitement. I like to rely on my intuitive impressions. I often go by my instincts when deciding on a course of action. I don't think it is a good idea to rely on ones intuition for important decisions. I trust my initial feelings about people. I tend to use my heart as a guide for my actions. I enjoy learning by doing something, instead of figuring it out first. I can often tell how people feel without them having to say anything. I generally don't depend on my feelings to help me make decisions. For me, descriptions of actual people's experiences are more convincing than discussions about “facts.” I'm not a very spontaneous person.",NA,42,UK,en,Yes,No,No,No,NA,NA,Yes,No,No,No,No,NA,NA,NA,NA,NA,Scale,MetaCognitive,NA,,,https://doi.org/10.1111/j.1467-6494.2011.00718.x,NA,Yes,
Real-life twitter share review,NA,April Hwang,18/08/2023 18:09:27,"Mosleh, M., Pennycook, G., Arechar, A. A., & Rand, D. G. (2021). Cognitive reflection correlates with behavior on twitter. Nature Communications, 12(1), 921-921. https://doi.org/10.1038/s41467-020-20043-0",Participants took CRT and provided their scores. Researchers examined correlation between CRT score and reliability of news retweets of participants,2022,https://doi.org/10.1038/s41467-020-20043-0,,,,,,,,,,,,,,,,,,,,,,,,,,,No items as researchers rely on real-life tweets of participants; uncertain if this method is considered as a scale/measure,,,No,
Recognition memory test,NA,April Hwang,12/07/2023 19:14:14,"Posten, A., & Gino, F. (2021). How trust and distrust shape perception and memory. Journal of Personality and Social Psychology, 121(1), 43-58. https://doi.org/10.1037/pspa0000269","Participants watched a video clip of a laptop theft and answered a first set of questions, some of which contained misleading information. After a two-minute filler task (solving math problems), participants engaged in a recognition memory test about the video clip, which included questions about the misleading information.",2021,https://doi.org/10.1037/pspa0000269,,,,,,,,,,,,,,,,,,,,,,,,,,,Measure (short term memory recall) not are part of the High-Level Overview or Key Correlates,,,No,
Recognition test,NA,April Hwang,11/07/2023 01:59:23,"Zhu, B., Chen, C., Loftus, E. F., Lin, C., He, Q., Chen, C., Li, H., Moyzis, R. K., Lessard, J., & Dong, Q. (2010). Individual differences in false memory from misinformation: Personality characteristics and their interactions with cognitive abilities. Personality and Individual Differences, 48(8), 889-894. https://doi.org/10.1016/j.paid.2010.02.016","Used Okado and Stark’s (2005) misinformation false memory materials. First, subjects saw picture slides depicting an event. Two events were selected, each consisting of 50 digital color slides. Presentation order of the two events was randomized across subjects. Of the 50 slides, 12 were critical slides that would be inaccurately described in the next stage. Participants complete 30 min of filler tasks. Subjects then read narrations of the two events that had been presented in picture slides. The narratives consisted of one sentence for each slide image describing the scene depicted in the slide. For each event, 50 sentences were presented, including 12 inaccurate descriptions and 38 accurate descriptions. Participants complete 10 min filler task. Subjects then took the recognition test and then a source monitoring test. For the recognition test, 18 questions were asked for each story, 12 of which were critical questions and 6 were control questions. Each question had three possible choices as answers. Immediately after the recognition test, subjects took the source monitoring test. Subjects were asked from what presentation source they remembered the answers they indicated on the recognition test. ",2010,https://doi.org/10.1101/lm.87605,https://doi.org/10.1016/j.paid.2010.02.016,Item list unavailable,NA,18; 18,CN,CN,Yes,Yes,Yes,NA,NA,NA,Yes,No,No,No,No,Image,Lab,NoSource,Other,NoPlatform,Scale,DiscVeracity,NA,,"Item list could not be found on this article and on original Okado and Stark (2005) article. Could someone please double check that I had not missed it?

Answer type: Each question had three possible choices as answers. For the critical questions, choices included a detail presented in the picture (‘‘original item”), a detail presented in the narrations with misinformation (‘‘misinformation item”), and a new foil detail (‘‘foil item”). ",https://doi.org/10.1016/j.paid.2010.02.016,NA,Yes,
Reinforced Self-Affirmation,RSA,Christiane,18/07/2023 23:31:32,"Szpitalak, M., & Polczyk, R. (2019). Inducing resistance to the misinformation effect by means of reinforced self-affirmation: The importance of positive feedback.","Not itself a measure, but a technique to boost self-confidence in order to rely more on memory rather than external cues (here: misinformation); Used to bolster resistance to misinformation effect; two versions: RSA with feedback concerning memory (MemRSA) and RSA with feedback about perception abilities (PerRSA) ",2019,https://doi.org/10.1371/journal.pone.0210987,RSA: NA ; final misinformation questions: https://storage.googleapis.com/plos-corpus-prod/10.1371/journal.pone.0210987/1/pone.0210987.s005.pdf?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=wombat-sa%40plos-prod.iam.gserviceaccount.com%2F20230718%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20230718T222801Z&X-Goog-Expires=86400&X-Goog-SignedHeaders=host&X-Goog-Signature=75353a6e643a01501ead61a23ba90624b9187f51468b074ab2dc056d824469ec2ef44ed46b898816d21ba9938bd6d3b0b032cd267906dc2b94a1f661a206bde191fd25d93388e21770bbd83fc5fb317f8870695b6fd4f67af8f9c419827b582e441d70a6db6902433cd752a30860e9620c2bf9a60dfeb7f07b81ed876f140358fc32462fee0ed61d916393a7068eb2a4bfb81b766449db2aeaf3b78885aa6194f967d46c503349f2229476a70fee0013e2475585ab0164e2c82ad2ddde6c019d9d915f4261fceebfc1ba90dd2c981e733ae837bd145de308ef89caf9a44c5e500aa59ff7252a1733483be11b25839da6e3b49bbade566d58dbcf5571af3c22fc,RSA: NA ; final misinformation questions: 1. Did a man or a woman take coffee from the café? 2. With what did the criminals break the door to the shop? 3. With what did the criminals hide the video camera in the shop? 4. What was stolen by the attackers? 5. How many cups of coffee were given to a man in a café? 6. At what time was the attack? 7. What was the colour of the car that hit another one at the moment of the explosion? 8. What did the man who threw the explosives into the dustbin carry? 9. What colour was the waitress's coat? 10. What did the waitress have on her head after leaving the bar and taking off the wig? 11. What did the waitress read while walking down the street? 12. What race were the thieves?,NA,Final memory check: 12,NA,NA,Yes,No,Yes,No,NA,NA,No,No,No,No,Yes,Video,NA,NA,NA,NA,Other,NA,NA,,"RSA aims at boosting self-confidence/efficacy (specifically in regards to memory), so I put yes under identity risk factor - unsure if this was correct, or if identity risk factors is meant more in a demographic/not manipulated sense",NA,NA,Yes,
Right-Wing Authoritarianism,RWA,Christiane,05/06/2023 14:02:31,"Sinclair, A. H., Stanley, M. L., & Seli, P. (2020). Closed-minded cognition: Right-wing authoritarianism is negatively related to belief updating following prediction error. Psychonomic Bulletin & Review, 27(6), 1348–1361.",Short scale targeting degree of right-wing authoritarianism,2020,https://doi.org/10.3758/s13423-020-01767-y,https://www.sciencedirect.com/science/article/pii/S0191886905001170?via%3Dihub#app1,"(Every-second Q counter-balanced) Our country needs a powerful leader, in order to destroy the radical and immoral currents prevailing in society today.  2. Our country needs free thinkers, who will have the courage to stand up against traditional ways, even if this upsets many people.  3. The “old-fashioned ways” and “old-fashioned values” still show the best way to live.  4. Our society would be better off if we showed tolerance and understanding for untraditional values and opinions.  5. God’s laws about abortion, pornography and marriage must be strictly followed before it is too late, violations must be punished.  6. The society needs to show openness towards people thinking differently, rather than a strong leader, the world is not particularly evil or dangerous.  7. It would be best if newspapers were censored so that people would not be able to get hold of destructive and disgusting material.  8. Many good people challenge the state, criticize the church and ignore “the normal way of living”.  9. Our forefathers ought to be honored more for the way they have built our society, at the same time we ought to put an end to those forces destroying it.  10. People ought to put less attention to the Bible and religion, instead they ought to develop their own moral standards.  11. There are many radical, immoral people trying to ruin things; the society ought to stop them.  12. It is better to accept bad literature than to censor it.  13. Facts show that we have to be harder against crime and sexual immorality, in order to uphold law and order.  14. The situation in the society of today would be improved if troublemakers were treated with reason and humanity.  15. If the society so wants, it is the duty of every true citizen to help eliminate the evil that poisons our country from within.",NA,15,US,en,Yes,No,Yes,Yes,NA,NA,No,Yes,No,No,Yes,NA,NA,NA,NA,NA,Scale,Belief,NA,Identity,,https://doi.org/10.1016/j.paid.2005.02.026,NA,Yes,
Right-Wing Authoritarianism,RWA,Christiane,19/07/2023 00:06:04,"De keersmaecker, J., & Roets, A. (2019). Is there an ideological asymmetry in the moral approval of spreading misinformation by politicians? Personality and Individual Differences, 143, 165–169.","Measure of authoritarian submission, authoritarian aggression, and conventionalism.",2019,https://doi.org/10.1016/j.paid.2019.02.003,https://openpsychometrics.org/tests/RWAS/1.php,"The established authorities generally turn out to be right about things, while the radicals and protestors are usually just ""loud mouths"" showing off their ignorance. 	 Women should have to promise to obey their husbands when they get married. 	 Our country desperately needs a mighty leader who will do what has to be done to destroy the radical new ways and sinfulness that are ruining us. 	 Gays and lesbians are just as healthy and moral as anybody else. 	 It is always better to trust the judgement of the proper authorities in government and religion than to listen to the noisy rabble-rousers in our society who are trying to create doubt in people's minds. 	 Atheists and others who have rebelled against the established religions are no doubt every bit as good and virtuous as those who attend church regularly. 	 The only way our country can get through the crisis ahead is to get back to our traditional values, put some tough leaders in power, and silence the troublemakers spreading bad ideas. 	 There is absolutely nothing wrong with nudist camps. 	 Our country needs free thinkers who have the courage to defy traditional ways, even if this upsets many people. 	 Our country will be destroyed someday if we do not smash the perversions eating away at our moral fiber and traditional beliefs. 	 Everyone should have their own lifestyle, religious beliefs, and sexual preferences, even if it makes them different from everyone else. 	 The ""old-fashioned ways"" and the ""old-fashioned values"" still show the best way to live. 	 You have to admire those who challenged the law and the majority's view by protesting for women's abortion rights, for animal rights, or to abolish school prayer. 	 What our country really needs is a strong, determined leader who will crush evil, and take us back to our true path. 	 Some of the best people in our country are those who are challenging our government, criticizing religion, and ignoring the ""normal way things are supposed to be done."" 	 God's laws about abortion, pornography and marriage must be strictly followed before it is too late, and those who break them must be strongly punished. 	 There are many radical, immoral people in our country today, who are trying to ruin it for their own godless purposes, whom the authorities should put out of action. 	 A ""woman's place"" should be wherever she wants to be. The days when women are submissive to their husbands and social conventions belong strictly in the past. 	 Our country will be great if we honor the ways of our forefathers, do what the authorities tell us to do, and get rid of the ""rotten apples"" who are ruining everything. 	 There is no ""one right way"" to live life; everybody has to create their own way. 	 Homosexuals and feminists should be praised for being brave enough to defy ""traditional family values."" 	 This country would work a lot better if certain groups of troublemakers would just shut up and accept their group's traditional place in society.",NA,11,US,en,Yes,No,Yes,Yes,NA,NA,No,Yes,No,No,Yes,NA,NA,NA,NA,NA,Binary,Belief,NA,,"This paper used 11 items from original 22-item scale, but I was unable to find the scale they used in both their paper and the paper they cited as their source for the shortened version.",https://books.google.ca/books?hl=en&lr=&id=-mFaEAAAQBAJ&oi=fnd&pg=PP1&ots=jkuP8boLAi&sig=AqWdyfKAdb7g_RResM6Mqga6QWw&redir_esc=y#v=onepage&q&f=false,NA,Yes,
Scientific Bullshit Receptivity Scale,SBRS,April Hwang,13/07/2023 17:07:01,"Littrell, S., Risko, E. F., & Fugelsang, J. A. (2021). ‘You can’t bullshit a bullshitter’ (or can you?): Bullshitting frequency predicts receptivity to various types of misleading information. British Journal of Social Psychology, 60(4), 1484-1505. https://doi.org/10.1111/bjso.12447","Evaluated the truthfulness of 10 randomly generated, yet grammatically correct, sentences constructed from abstract scientific buzzwords (e.g., ‘The entropy of an integral approaches constructive interference as its buoyancy approaches endothermal constant of quantum ground states’). Participants also rated 10 statements that convey actual scientific truths (e.g., ‘In a natural thermodynamic process, the sum of the entropies of the interacting thermodynamic systems increases.’)",2021,https://doi.org/10.1111/bjso.12447,https://osf.io/9j3vb,"Bullshit: 1Energy can deteriorate based on closed-circuit alliterations of an afocal system.2The entropy of an integral approaches constructive interference as its buoyancy approaches endothermal constant of quantum ground states.3In all thermal equilibria, if no surface tension is applied nor any refraction imposed upon the object, the capacity of that atomic structure disperses throughout the object.4There are no transverse waves when the total magnetic sublimation through a stiff photon is equal to its scattered matrix.5The solubility induced in an electromagnetic field is proportional to the damped vibration of the binary infrasound it encloses.6In the Kirchhoff’s equation of nuclear transmutation, parity algorithm is the most accurate description that can be given of thermal conduction.7A cyclic ionization whose only final result is to induce plasmatic solubility is impossible.8The thermal conduction capacity is approximately equal to the total internal reflection of a set of linear actuators.9The sum of the derivative differences encountered in an alternating current during any destructive interference is zero.10For a dispersed force induced on a shortwave radiation, the acceleration produced is proportional to the amplitude of its separation from particle charge. Real: 1In a natural thermodynamic process, the sum of the entropies of the interacting thermodynamic systems increases.2The internal energy of a substance can be explained as the sum of the diverse kinetic energies of the erratic microscopic motions of its constituent atoms, and of the potential energy of interactions between them.3In all energy exchanges, if no energy enters or leaves an isolated system the entropy of that system increases.4When two initially isolated systems in separate but nearby regions of space, each in thermodynamic equilibrium with itself but not necessarily with each other, are then allowed to interact, they will eventually reach a mutual thermodynamic equilibrium.5The conservation of energy follows from the time-invariance of physical systems, and the fact that physical systems behave the same regardless of how they are oriented in space gives rise to the conservation of angular momentum.6The voltage induced in a closed circuit is proportional to the rate of change of the magnetic flux it encloses.7As the result of a measurement the wave function containing the probability information for a system collapses from a given initial state to a particular eigenstate.8The probability distribution of an observable in a given state can be found by computing the spectral decomposition of the corresponding operator.9A cyclic transformation whose only final result is to transform heat extracted from a source which is at the same temperature throughout into work is impossible.10For an unbalanced force acting on a body, the acceleration produced is proportional to the force impressed; the constant of proportionality is the inertial mass of the body",NA,20,US; CA,EN,Yes,No,Yes,Yes,NA,NA,Yes,No,No,No,No,Text,Lab,NoSource,Message,NoPlatform,Scale,DiscVeracity,NA,,,http://journal.sjdm.org/ 20/200221/jdm200221.pdf,Cognitive Reflection,Yes,
Scientific reasoning scale,SRS,Christiane,26/08/2023 03:30:20,"Georgiou, N., Delfabbro, P., & Balzan, R. (2021). Conspiracy theory beliefs, scientific reasoning and the analytical thinking paradox.","test participants' knowledge of basic scientific concepts, such as confounding variables, control group effects, or random assignment to conditions",2021,https://doi.org/10.1002/acp.3885,"(Original measure paper, under appendix) https://onlinelibrary.wiley.com/doi/10.1002/bdm.1906","In a taste test, a researcher puts Brand A coffee in a cup with white tape on it and Brand B coffee in an identical cup with black tape on it. A lab assistant gives tasters one of the cups, while the researcher watches their facial expressions. True or False? The lab assistant should not watch the cups being filled. A researcher finds that American states with larger parks have fewer endangered species. True or False? These data show that increasing the size of American state parks will reduce the number of endangered species. A researcher has subjects put together a jigsaw puzzle either in a cold room with a loud radio or in a warm room with no radio. Subjects solve the puzzle more quickly in the warm room with no radio. True or False? The scientist cannot tell if the radio caused subjects to solve the puzzle more slowly. An education researcher wants to measure the general math ability of a sample of high-performing math students. All the students have taken classes in geometry and pre-calculus. True or False? The education researcher can measure general math ability by giving the students a geometry test. Two scientists test an anti-acne cream on teenagers with acne. Scientist A wants to give the cream to all the teenagers in the study. Scientist B wants to give the cream to half the teenagers and give a cream without anti-acne ingredients to the other half. True or False? Both ways of testing the cream are equally good. A researcher has a group of subjects play a competitive game. Each subject's goal is to make money by buying and selling tokens. Subjects are paid a flat fee for participating in the experiment. True or False? The researcher can confidently state that the behavior in the experiment reflects real-life buying and selling behavior. A randomly selected sample of Americans is surveyed about disease A before and after a 6-month media campaign about the disease. Mid-way through the media campaign, a famous celebrity dies of Disease A. The survey data indicate that knowledge of Disease A is higher after the campaign. True or False? The media campaign may not have increased knowledge of Disease A. Subjects in an experiment must press a button whenever a blue dot flashes on their computer screen. At first, the task is easy for subjects. But as they continue to perform the task, they make more and more errors. True or False? The blue dot must flash more quickly as the task progresses. Researchers want to see whether a health intervention helps school children to lose weight. School children are sorted into either an intervention or control group. True or False? The researchers should assign the overweight children to the intervention group. A researcher develops a new method for measuring the surface tension of liquids. This method is more consistent than the old method. True or False? The new method must also be more accurate than the old method. Two researchers are developing a survey to measure consumers' feelings about customer service. Researcher A wants customers to rate their agreement with the statement “I am satisfied with customer service” on a 5-point scale, where 1 = strongly agree and 5 = strongly disagree. Researcher B wants customers to rate customer service on a 5-point scale, where 1 = not dissatisfied at all and 5 = highly dissatisfied. True or False? These questions are equally good for measuring how consumers feel about customer service.",NA,11,US; UK; CA; AU; EU,en,Yes,Yes,Yes,Yes,NA,NA,No,No,Yes,No,No,NA,NA,NA,NA,NA,Other,KnowScientific,NA,,"entered ""EU"" under population as specific European countries were not provided, only that it was ""continental Europe""",https://onlinelibrary.wiley.com/doi/10.1002/bdm.1906,Knowledge Test,Yes,
Sharing Discernment Task,NA,Martina,04/06/2023 08:18:50,"Omar, B., Apuke, O. D., & Nor, Z. M. (2023). The intrinsic and extrinsic factors predicting fake news sharing among social media users: The moderating role of fake news awareness. Current Psychology, 1–13. https://doi.org/10.1007/s12144-023-04343-4",environmental factors vs individual factors to predict fake news sharing behaviour,2023,https://link.springer.com/article/10.1007/s12144-023-04343-,NA,"Altruism, Information Sharing, Socialization, Status Seeking, Trust in Network, Homophily, Norm of Reciprocity, Tie Strength, Fake News Sharing, Fake News Awareness",NA,NA,MYS,NA,Yes,NA,Yes,Yes,NA,NA,Yes,Yes,No,Yes,Yes,NA,NA,NA,Post_Article,NA,Behavior,MetaCognitive,Sharing,ThinkingStyle,,"https://doi.org/10.1016/j.tele.2020.101475, https://doi.org/10.1080/08874417.2019.1566803",Myside Bias,Yes,
Sharing discernment task,NA,Christiane,04/06/2023 22:24:55,"Pennycook, G., McPhetres, J., Zhang, Y., Lu, J. G., & Rand, D. G. (2020). Fighting COVID-19 Misinformation on Social Media: Experimental Evidence for a Scalable Accuracy-Nudge Intervention. Psychological Science, 31(7), 770–780. https://doi.org/10.1177/0956797620939054",Truth discernment measured through self-reported sharing intensions of various news headlines (true or false).,2020,https://doi.org/10.1177/0956797620939054,https://osf.io/7d3xh/,"Would you consider sharing this story online (for example, through Facebook or Twitter?)",NA,30,US,en,Yes,No,Yes,Yes,NA,NA,Yes,NA,NA,Yes,Yes,Mixed,Real,Organisations,News_Headline,Other,Binary,DiscVeracity,Sharing,ThinkingStyle,"In high-level analysis, sharing intentions don't go under skill, however, the article presents is as part of their veracity discernment measure.",NA,NA,Yes,
Social Dominance Orientation,SDO,Christiane,19/07/2023 00:11:27,"De keersmaecker, J., & Roets, A. (2019). Is there an ideological asymmetry in the moral approval of spreading misinformation by politicians? Personality and Individual Differences, 143, 165–169.",Measuring preference for a hierarchical social structure and inequality among social groups,2019,https://doi.org/10.1016/j.paid.2019.02.003,(Appendix C) https://doi.org/10.1037/0022-3514.67.4.741,"1. Some groups of people are simply inferior to other groups. 2. In getting what you want, it is sometimes necessary to use force against other groups. 3. It'sOKifsomegroupshavemoreofachanceinlifethanothers. 4. To get ahead in life, it is sometimes necessary to step on other groups. 5. If certain groups stayed in their place, we would have fewer problems. 6. It's probably a good thing that certain groups are at the top and other groups are at the bottom. 7. Inferior groups should stay in their place. 8. Sometimesothergroupsmustbekeptintheirplace. 9. Itwouldbegoodifgroupscouldbeequal. 10. Group equality should be our ideal. 11. All groups should be given an equal chance in life. 12. We should do what we can to equalize conditions for different groups. 13. Increasedsocialequality. 14. Wewouldhavefewerproblemsifwetreatedpeoplemoreequally. 15. We should strive to make incomes as equal as possible. 16. No one group should dominate in society.",NA,16,US,en,Yes,No,Yes,Yes,NA,NA,No,Yes,No,No,Yes,NA,NA,NA,NA,NA,Scale,Belief,NA,,,https://doi.org/10.1037/0022-3514.67.4.741,NA,Yes,
